spec,comb,test,down,solutions,limit_test,limit_down,limit_solutions
3679618986182254095,11871522780173434607,14,8,2,14,8,2
3679618986182254095,9907127745160836775,18,8,2,18,10,4
3679618986182254095,18387860139792047690,22,12,4,22,12,4
3679618986182254095,15861483196525139553,30,12,4,30,16,8
3679618986182254095,15786371746276086785,26,14,4,26,14,4
3679618986182254095,16632910022995741870,34,14,4,34,18,8
3679618986182254095,9581802723584445816,42,22,8,42,22,8
3679618986182254095,18047859571204980094,58,22,8,58,30,16
3679618986182254095,7961151471083848655,14,7,1,14,8,2
3679618986182254095,14696297025090193322,18,8,2,18,10,4
3679618986182254095,5856198991986604457,22,10,2,22,12,4
3679618986182254095,17471456760654050195,30,12,4,30,16,8
3679618986182254095,8703768238146895835,26,12,2,26,14,4
3679618986182254095,1319992477807027015,34,14,4,34,18,8
3679618986182254095,198170937666578798,42,18,4,42,22,8
3679618986182254095,8572321140509640205,58,22,8,58,30,16
14807754921950186792,11871522780173434607,18,10,2,18,12,4
14807754921950186792,18387860139792047690,26,12,4,26,16,8
14807754921950186792,9907127745160836775,22,10,2,22,12,4
14807754921950186792,15861483196525139553,30,12,4,30,16,8
14807754921950186792,15786371746276086785,34,18,4,34,22,8
14807754921950186792,9581802723584445816,50,22,8,50,30,16
14807754921950186792,16632910022995741870,42,18,4,42,22,8
14807754921950186792,18047859571204980094,58,22,8,58,30,16
14807754921950186792,7961151471083848655,14,7,1,18,12,4
14807754921950186792,5856198991986604457,18,8,2,26,16,8
14807754921950186792,14696297025090193322,22,10,2,22,12,4
14807754921950186792,17471456760654050195,30,12,4,30,16,8
14807754921950186792,8703768238146895835,26,12,2,34,22,8
14807754921950186792,198170937666578798,34,14,4,50,30,16
14807754921950186792,1319992477807027015,42,18,4,42,22,8
14807754921950186792,8572321140509640205,58,22,8,58,30,16
6894736385609032820,11871522780173434607,18,10,2,22,14,4
6894736385609032820,9907127745160836775,22,10,2,30,18,8
6894736385609032820,15786371746276086785,30,14,4,38,22,8
6894736385609032820,16632910022995741870,38,14,4,54,30,16
6894736385609032820,18387860139792047690,34,18,4,42,26,8
6894736385609032820,15861483196525139553,42,18,4,58,34,16
6894736385609032820,9581802723584445816,58,26,8,74,42,16
6894736385609032820,18047859571204980094,74,26,8,106,58,32
6894736385609032820,7961151471083848655,18,9,1,22,14,4
6894736385609032820,14696297025090193322,22,10,2,30,18,8
6894736385609032820,8703768238146895835,30,12,2,38,22,8
6894736385609032820,1319992477807027015,38,14,4,54,30,16
6894736385609032820,5856198991986604457,34,16,2,42,26,8
6894736385609032820,17471456760654050195,42,18,4,58,34,16
6894736385609032820,198170937666578798,58,22,4,74,42,16
6894736385609032820,8572321140509640205,74,26,8,106,58,32
7155476388443075054,11871522780173434607,22,12,2,22,14,4
7155476388443075054,15786371746276086785,30,14,4,30,18,8
7155476388443075054,9907127745160836775,30,12,2,38,22,8
7155476388443075054,16632910022995741870,38,14,4,54,30,16
7155476388443075054,18387860139792047690,42,22,4,42,26,8
7155476388443075054,9581802723584445816,58,26,8,58,34,16
7155476388443075054,15861483196525139553,58,22,4,74,42,16
7155476388443075054,18047859571204980094,74,26,8,106,58,32
7155476388443075054,7961151471083848655,18,9,1,22,14,4
7155476388443075054,8703768238146895835,22,10,2,30,18,8
7155476388443075054,14696297025090193322,30,12,2,38,22,8
7155476388443075054,1319992477807027015,38,14,4,54,30,16
7155476388443075054,5856198991986604457,34,16,2,42,26,8
7155476388443075054,198170937666578798,42,18,4,58,34,16
7155476388443075054,17471456760654050195,58,22,4,74,42,16
7155476388443075054,8572321140509640205,74,26,8,106,58,32
5970542285609216515,11871522780173434607,22,12,2,22,14,4
5970542285609216515,18387860139792047690,30,14,4,30,18,8
5970542285609216515,15786371746276086785,38,18,4,38,22,8
5970542285609216515,9581802723584445816,54,22,8,54,30,16
5970542285609216515,9907127745160836775,26,12,2,26,14,4
5970542285609216515,15861483196525139553,34,14,4,34,18,8
5970542285609216515,16632910022995741870,42,18,4,42,22,8
5970542285609216515,18047859571204980094,58,22,8,58,30,16
5970542285609216515,7961151471083848655,14,7,1,22,14,4
5970542285609216515,5856198991986604457,18,8,2,30,18,8
5970542285609216515,8703768238146895835,22,10,2,38,22,8
5970542285609216515,198170937666578798,30,12,4,54,30,16
5970542285609216515,14696297025090193322,26,12,2,26,14,4
5970542285609216515,17471456760654050195,34,14,4,34,18,8
5970542285609216515,1319992477807027015,42,18,4,42,22,8
5970542285609216515,8572321140509640205,58,22,8,58,30,16
12950537416654814731,11871522780173434607,22,12,2,30,22,8
12950537416654814731,15786371746276086785,30,14,4,46,30,16
12950537416654814731,18387860139792047690,38,18,4,38,22,8
12950537416654814731,9581802723584445816,54,22,8,54,30,16
12950537416654814731,9907127745160836775,26,12,2,34,22,8
12950537416654814731,16632910022995741870,34,14,4,50,30,16
12950537416654814731,15861483196525139553,42,18,4,42,22,8
12950537416654814731,18047859571204980094,58,22,8,58,30,16
12950537416654814731,7961151471083848655,14,7,1,30,22,8
12950537416654814731,8703768238146895835,18,8,2,46,30,16
12950537416654814731,5856198991986604457,22,10,2,38,22,8
12950537416654814731,198170937666578798,30,12,4,54,30,16
12950537416654814731,14696297025090193322,26,12,2,34,22,8
12950537416654814731,1319992477807027015,34,14,4,50,30,16
12950537416654814731,17471456760654050195,42,18,4,42,22,8
12950537416654814731,8572321140509640205,58,22,8,58,30,16
